school_id,year,name,medical-exemptions,religious-exemptions,polio,measles,mumps,rubella,diphtheria,hepb,varicella,completely-immunized,street,city,county,state,zip,latitude,longitude,address,address2
3.43E+11,2014-2015,Our Lady Of Fatima School,0,0,100,100,100,100,100,100,100,100,25 38 80TH ST,QUEENS,QUEENS,NY,11370,40.7616779,-73.8884325,"25-38 80TH ST, QUEENS, NY, 11370","25-38 80th St, Queens, NY, 11370"
3.43E+11,2014-2015,St. Sebastian School,0.25,0,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.2,39 76 58TH ST,WOODSIDE,QUEENS,NY,11377,40.746051,-73.906646,"39 76 58TH ST, WOODSIDE, NY, 11377","3976 58th St, Woodside, NY 11377"
3.43E+11,2014-2015,Queens Lutheran School,0,0,100,98.5,98.5,98.5,100,100,100,98.5,31 20 21ST AVENUE,ASTORIA,QUEENS,NY,11105,40.777336,-73.908164,"31 20 21ST AVENUE, ASTORIA, NY, 11105","3120 21st Ave, Astoria, NY 11105"
3.43E+11,2014-2015,Greater New York Academy,0,1.36,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,41 32 58TH ST,WOODSIDE,QUEENS,NY,11377,40.743556,-73.907402,"41 32 58TH ST, WOODSIDE, NY, 11377","4132 58th St, Woodside, NY 11377"
3.43E+11,2014-2015,Lexington School For The Deaf,0,0,100,100,100,100,100,100,100,100,25-26 75TH ST,JACKSON HEIGHTS,QUEENS,NY,11370,40.7491188,-73.890831,"25-26 75TH ST, JACKSON HEIGHTS, NY, 11370","75th St, Jackson Heights, NY 11372"
3.32E+11,2014-2015,Mavakshei Hasem,0,0.72,95.7,92.1,92.1,92.1,95.7,95.7,93.1,87.7,550 OCEAN PARKWAY,BROOKLYN,KINGS,NY,11218,40.634517,-73.97306,"550 OCEAN PARKWAY, BROOKLYN, NY, 11218","550 Ocean Pkwy, Brooklyn, NY 11218"
3.32E+11,2014-2015,Adelphi Academy,0,0,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,8515 RIDGE BOULEVARD,BROOKLYN,KINGS,NY,11209,40.6244392,-74.0330124,"8515 RIDGE BOULEVARD, BROOKLYN, NY, 11209","8515 Ridge Blvd, Brooklyn, NY 11209"
3.32E+11,2014-2015,Bet Yaakov Ateret Torah,0,0.83,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,2166 CONEY ISLAND AVENUE,BROOKLYN,KINGS,NY,11223,40.6034775,-73.9620819,"2166 CONEY ISLAND AVENUE, BROOKLYN, NY, 11223","2166 Coney Island Ave, Brooklyn, NY 11223"
3.43E+11,2014-2015,Bnos Bais Yaakov Of Far Rockaway,0,0.15,92.9,92.9,92.9,92.9,92.9,92.9,87.9,87.2,613 BEACH 9TH STREET,FAR ROCKAWAY,QUEENS,NY,11691,40.6012878,-73.7462921,"613 BEACH 9TH STREET, FAR ROCKAWAY, NY, 11691","613 Beach 9th St, Far Rockaway, NY 11691"
3.43E+11,2014-2015,Holy Cross H S,0.12,0,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,26-20 FRANCIS LEWIS BOULEVARD,FLUSHING,QUEENS,NY,11358,40.7727568,-73.7954476,"26-20 FRANCIS LEWIS BOULEVARD, FLUSHING, NY, 11358","26-20 Francis Lewis Blvd, Flushing, NY 11358"
