"ID","WindForce","Cliwoc.Class","Beaufort","mps"
"191","BRISA MUY FRESCA","3","6","13.1000004"
"192","BRISA MUY RECIA","4","8","19"
"193","BRISA PARDA","2","2","2.5999999"
"194","BRISA PARDA FRESCA","8",NA,NA
"195","BRISA REFRESCANDO MUCHO","8",NA,NA
"196","BRISA REFRESCO","8",NA,NA
"197","BRISA TOMADA","8",NA,NA
"198","BRISA VARIA","8",NA,NA
"199","BRISA VARIABLE","8",NA,NA
"200","brisado","2","2","2.5999999"
"201","brisados","2","2","2.5999999"
"202","brisas","2","2","2.5999999"
"203","BRISAS BONANCIBLES","2","4","6.69999981"
"204","BRISAS ENTABLADAS","8",NA,NA
"205","BRISAS FRESCAS","3","6","12.3000002"
"206","BRISITA MENOS FRESCA","3","6","11.6000004"
"207","BUENO","8",NA,NA
"208","CADA VEZ MÁS ESCASO","8",NA,NA
"209","CAER","8",NA,NA
"210","CALIMOSO","2","2","2.5999999"
"211","CALMA","1","0","0"
"212","CALMA CASI","1","1","1"
"213","CALMA CERNIDA HASTA LAS 16:00","1","0","0"
"214","CALMA CON TURBONADAS","1","0","0"
"215","CALMA CON VENTOLINAS","1","1","1"
"216","CALMA HASTA LAS 19:00 QUE ENTRO POR EL E","1","0","0"
"217","CALMA MUERTA","1","0","0"
"218","CALMA O MUY FLOJO","1","0","0"
"219","CALMA TODO EL DIA","1","0","0"
"220","CALMA TOTAL","1","0","0"
"221","CALMA Y ALGUNAS FUGADAS","1","0","0"
"222","CALMA Y VENTOLINAS","1","1","1"
"223","CALMA. A LAS 13:00 EMPEZO A VENTAR AL NO","1","0","0"
"224","CALMANDO","1","0","0"
"225","CALMAOJAS","2","2","2.5999999"
"226","CALMARSE","1","0","0"
"227","CALMAS","1","0","0"
"228","CALMAS PERMANENTES","1","0","0"
"229","CALMO","1","0","0"
"230","CALMOSA","2","2","2.5999999"
"231","CALMOSO","2","2","2.5999999"
"232","CALMOSO CON TURBONADAS","2","2","2.5999999"
"233","CALMOSO CON VENTOLINAS VARIABLES","2","2","2.5999999"
"234","CALMOSO CON VENTOLINAS VARIABLES Y CALMA","2","2","2.5999999"
"235","CALMOSO EN VENTOLINAS Y CALMA","2","2","2.5999999"
"236","CALMOSO HASTA LAS 0:00 QUE SE QUEDO CALMA","2","2","2.5999999"
"237","CALMOSO O BONANCIBLE","2","2","2.5999999"
"238","CALMOSO O ENTERAMENTE CALMA","2","2","2.5999999"
"239","CALMOSO Y A VECES ENTERAMENTE CALMA","2","2","2.5999999"
"240","CALMOSO Y CALMA","2","2","2.5999999"
"241","CALMOSO Y CASI CALMA","2","2","2.5999999"
"242","CALMOSO Y EN FUGA","2","2","2.5999999"
"243","CALMOSO Y EN VECES ENTERAMENTE CALMA","2","2","2.5999999"
"244","CALMOSO Y EN VENTOLINAS","2","2","2.5999999"
"245","CALMOSO Y ENTERAMENTE CALMA","2","2","2.5999999"
"246","CALMOSO Y LUEGO SE QUEDO CALMA","2","2","2.5999999"
"247","CALMOSO Y MUY VARIABLE","2","2","2.5999999"
"248","CALMOSO Y VARIABLE","2","2","2.5999999"
"249","CALMOSO Y VARIABLE POR TODO EL COMPAS","2","2","2.5999999"
"250","calmosos","2","2","2.5999999"
"251","CALMUCHA","1","0","0"
"252","CARGO CON EXTREMA FUERZA","8",NA,NA
"253","CARGO MAS","8",NA,NA
"254","CARGO MUCHO","8",NA,NA
"255","CAS CALMA","1","1","1"
"256","CASCARRON","1","0","0.100000001"
"257","CASI CALMA","1","1","1"
"258","CASI EN CALMA","1","1","1"
"259","CASI ENTERAMENTE CALMA","1","1","1"
"260","CAYENDO","8",NA,NA
"261","CEDIO ALGO","8",NA,NA
"262","CESANDO EL VIENTECITO","8",NA,NA
"263","chubascos","8",NA,NA
"264","chubascoso","8",NA,NA
"265","claro","8",NA,NA
"266","COMPLETAMENTE CALMA","1","0","0"
"267","CON AGUACEROS","8",NA,NA
"268","CON CALMA","1","0","0"
"269","CON CALMAS","1","0","0"
"270","CON CHUBASCOS","8",NA,NA
"271","CON EXTREMA FUERZA","4","9","22.6000004"
"272","CON FUERZA","4","9","22.6000004"
"273","CON FUGADAS","8",NA,NA
"274","CON FURIA","4","9","22.6000004"
"275","CON GARÚA","8",NA,NA
"276","CON MUCHA FURIA","4","9","22.6000004"
"277","CON MUCHA VARIEDAD Y BLANDURA","1","1","1"
"278","CON RAFAGAS","8",NA,NA
"279","CON RECIAS FUGADAS","3","7","15.3999996"
"280","CON TURBONADAS","8",NA,NA
"281","CON TURBONANCIBLEADAS","8",NA,NA
"282","CON VENTOLINAS","1","1","1"
"283","CON VIENTO","8",NA,NA
