state,st,disease,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NYC,NYC,Varicella,4773,5978,NA,NA,NA,NA,NN,NN,NN,0,0,NN,,,,,,,,,
Pennsylvania,PA,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,0,43,NN,,,,,,,,,
Illinois,IL,Varicella,26447,33889,NA,NA,NA,NA,13846,NA,0,0,0,NN,,,,,,,,,
Indiana,IN,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,NN,0,NN,,,,,,,,,
Michigan,MI,Varicella,32461,37948,NA,NA,NA,NA,12260,8809,6600,5352,4171,NN,,,,,,,,,
Ohio,OH,Varicella,5472,5495,NA,NA,NA,NA,1307,1192,1653,1748,1302,NN,,,,,,,,,
Wisconsin,WI,Varicella,NA,NA,NA,NA,NA,NA,591,16,2221,1225,1011,NN,,,,,,,,,
Iowa,IA,Varicella,5057,10147,NA,NA,NA,NA,NN,NN,NN,NN,NN,NN,,,,,,,,,
Kansas,KS,Varicella,1687,8653,NA,NA,NA,NA,NN,NN,NN,NN,0,NN,,,,,,,,,
Minnesota,MN,Varicella,NN,4197,NA,NA,NA,NA,NN,NN,18,0,NN,NN,,,,,,,,,
Missouri,MO,Varicella,9609,48,NA,NA,NA,NA,5291,5744,3,1,1,NN,,,,,,,,,
Nebraska,NE,Varicella,4,3197,NA,NA,NA,NA,1,1,NN,0,NN,NN,,,,,,,,,
North Dakota,ND,Varicella,37,619,NA,NA,NA,NA,5,21,15,19,102,NN,,,,,,,,,
South Dakota,SD,Varicella,420,2,NA,NA,NA,NA,NN,NN,NN,0,0,NN,,,,,,,,,
Delaware,DE,Varicella,3,2,NA,NA,NA,NA,5,NN,NN,56,29,NN,,,,,,,,,
Florida,FL,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,NN,NN,NN,,,,,,,,,
Georgia,GA,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,NN,NN,NN,,,,,,,,,
Maryland,MD,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,0,1,NN,,,,,,,,,
North Carolina,NC,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,0,NN,NN,,,,,,,,,
South Carolina,SC,Varicella,120,135,NA,NA,NA,NA,NN,83,66,199,336,NN,,,,,,,,,
Virginia,VA,Varicella,2917,2844,NA,NA,NA,NA,1490,592,540,605,682,NN,,,,,,,,,
"Washington, DC",DC,Varicella,4,16,NA,NA,NA,NA,75,87,73,43,55,NN,,,,,,,,,
West Virginia,WV,Varicella,5288,5656,NA,NA,NA,NA,1995,2024,1421,1586,1330,NN,,,,,,,,,
Alabama,AL,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,0,0,NN,,,,,,,,,
Kentucky,KY,Varicella,1429,984,NA,NA,NA,NA,NN,NN,NN,NN,NN,NN,,,,,,,,,
Mississippi,MS,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,0,0,NN,,,,,,,,,
Tennessee,TN,Varicella,2552,3717,NA,NA,NA,NA,584,123,NN,0,0,NN,,,,,,,,,
Arkansas,AR,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,0,0,NN,,,,,,,,,
Louisiana,LA,Varicella,NN,NN,NA,NA,NA,NA,173,102,59,29,16,NN,,,,,,,,,
Oklahoma,OK,Varicella,0,NN,NA,NA,NA,NA,NN,NN,0,NN,NN,NN,,,,,,,,,
Texas,TX,Varicella,14291,16159,NA,NA,NA,NA,7473,6964,5741,6047,5465,NN,,,,,,,,,
