state,latitude,longitude,postal,disease,Cases in 1993,Cases in 1994,Cases in 1995,Cases in 1996,Cases in 1997,Cases in 1998,Cases in 1999,Cases in 2000,Cases in 2001,Cases in 2002,Cases in 2003,Cases in 2004,Cases in 2005,Cases in 2006,Cases in 2007,Cases in 2008,Cases in 2009,Cases in 2010,Cases in 2011,Cases in 2012,Cases in 2013
Washington,47.39,-121.57,WA,Measles,0,3,20,36,1,0,4,2,13,0,0,0,0,0,0,19,0,0,2,0,1
Washington,47.39,-121.57,WA,Mumps,14,23,16,26,21,11,2,10,2,0,11,2,3,42,53,14,6,7,2,2,2
Washington,47.39,-121.57,WA,Pertussis,91,140,491,830,481,407,739,458,184,575,844,842,1047,377,482,460,291,607,962,4916,748
Wisconsin,44.26,-89.64,WI,Measles,3,3,6,8,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
Wisconsin,44.26,-89.64,WI,Mumps,23,14,0,3,4,3,4,3,2,1,2,1,5,842,51,13,9,5,4,8,2
Wisconsin,44.26,-89.64,WI,Pertussis,376,149,158,169,219,191,117,140,199,180,697,5641,1089,221,327,192,170,583,1192,6880,1258
West Virginia,38.47,-80.97,WV,Measles,0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
West Virginia,38.47,-80.97,WV,Mumps,23,5,0,0,0,0,0,1,0,0,3,2,0,24,3,1,1,2,1,2,0
West Virginia,38.47,-80.97,WV,Pertussis,8,6,1,7,6,7,6,3,6,35,28,51,53,66,32,11,40,166,101,85,19
Wyoming,42.75,-107.21,WY,Measles,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wyoming,42.75,-107.21,WY,Mumps,5,3,0,1,1,1,0,1,2,0,1,1,2,9,1,0,0,1,1,1,0
Wyoming,42.75,-107.21,WY,Pertussis,2,0,1,8,7,8,2,4,1,11,130,35,53,83,24,18,22,12,13,62,75
